4	[-10, -5]	[26, 24]	[27, 23]	[28, 22]	[29, 21]	
4	[-10, -4]	[26, 23]	[27, 22]	[28, 21]	[29, 20]	
4	[-10, -3]	[26, 22]	[27, 21]	[28, 20]	[29, 19]	
4	[-10, -2]	[26, 21]	[27, 20]	[28, 19]	[29, 18]	
4	[-10, -1]	[26, 20]	[27, 19]	[28, 18]	[29, 17]	
4	[-10, 0]	[26, 19]	[27, 18]	[28, 17]	[29, 16]	
4	[-10, 1]	[26, 18]	[27, 17]	[28, 16]	[29, 15]	
4	[-9, -23]	[27, 40]	[28, 39]	
4	[-9, -22]	[26, 40]	[27, 39]	[28, 38]	
4	[-9, -21]	[25, 40]	[26, 39]	[27, 38]	[28, 37]	
4	[-9, -20]	[25, 39]	[26, 38]	[27, 37]	[28, 36]	
4	[-9, -19]	[25, 38]	[26, 37]	[27, 36]	[28, 35]	
4	[-9, -18]	[25, 37]	[26, 36]	[27, 35]	[28, 34]	
4	[-9, -17]	[25, 36]	[26, 35]	[27, 34]	[28, 33]	
4	[-9, -16]	[25, 35]	[26, 34]	[27, 33]	[28, 32]	
4	[-9, -15]	[25, 34]	[26, 33]	[27, 32]	[28, 31]	
4	[-9, -14]	[25, 33]	[26, 32]	[27, 31]	[28, 30]	
4	[-9, -13]	[25, 32]	[26, 31]	[27, 30]	[28, 29]	
4	[-9, -12]	[25, 31]	[26, 30]	[27, 29]	[28, 28]	
4	[-9, -11]	[25, 30]	[26, 29]	[27, 28]	[28, 27]	
4	[-9, -10]	[25, 29]	[26, 28]	[27, 27]	[28, 26]	
4	[-9, -9]	[25, 28]	[26, 27]	[27, 26]	[28, 25]	
4	[-9, -8]	[25, 27]	[26, 26]	[27, 25]	[28, 24]	
4	[-9, -7]	[25, 26]	[26, 25]	[27, 24]	[28, 23]	
4	[-9, -6]	[25, 25]	[26, 24]	[27, 23]	[28, 22]	
4	[-9, -5]	[25, 24]	[26, 23]	[27, 22]	[28, 21]	
4	[-9, -4]	[25, 23]	[26, 22]	[27, 21]	[28, 20]	
